datetime,y
7/13/2009,16.99
7/14/2009,17.08
7/15/2009,17.41
7/16/2009,17.5
7/17/2009,17.94
7/20/2009,18.56
7/21/2009,17.75
7/22/2009,17.6
7/23/2009,17.64
7/24/2009,17.16
7/27/2009,17.34
7/28/2009,18.06
7/29/2009,16.5
7/30/2009,16.42
7/31/2009,16.92
8/3/2009,17.62
8/4/2009,19.38
8/5/2009,19.62
8/6/2009,20.26
8/7/2009,18.48
8/10/2009,18.79
8/11/2009,18.94
8/12/2009,17.37
8/13/2009,17.36
8/14/2009,16.45
8/17/2009,14.86
8/18/2009,15.08
8/19/2009,14.05
8/20/2009,14.6
8/21/2009,15.29
8/24/2009,15.47
8/25/2009,14.68
8/26/2009,15.7
8/27/2009,15.31
8/28/2009,14.88
8/31/2009,13.71
9/1/2009,13.63
9/2/2009,14.1
9/3/2009,14.66
9/7/2009,15
9/8/2009,15.34
9/9/2009,15.81
9/10/2009,15.42
9/11/2009,15.51
9/14/2009,15.9
9/15/2009,16.29
9/16/2009,16.02
9/17/2009,16.8
9/18/2009,16.06
9/21/2009,16.84
9/22/2009,16.34
9/23/2009,15.45
9/24/2009,15
9/25/2009,14.88
9/28/2009,14.51
9/29/2009,14.44
9/30/2009,14.46
10/9/2009,15.2
10/12/2009,15.51
10/13/2009,15.75
10/14/2009,15.95
10/15/2009,15.83
10/16/2009,15.63
10/19/2009,16.28
10/20/2009,16.45
10/21/2009,16.6
10/22/2009,16.9
10/23/2009,16.95
10/26/2009,16.74
10/27/2009,16
10/28/2009,16.21
10/29/2009,15.75
10/30/2009,15.92
11/2/2009,16.34
11/3/2009,17.51
11/4/2009,17.28
11/5/2009,17.37
11/6/2009,17.8
11/9/2009,17.97
11/10/2009,17.75
11/11/2009,17.54
11/12/2009,17.55
11/13/2009,17.84
11/16/2009,18.02
11/17/2009,18.43
11/18/2009,18.1
11/19/2009,18.34
11/20/2009,18.25
11/24/2009,17.4
11/25/2009,18
11/26/2009,18.21
11/27/2009,18.79
11/30/2009,20.41
12/1/2009,20.29
12/2/2009,20.58
12/3/2009,21.02
12/4/2009,19.81
12/7/2009,19.9
12/8/2009,19.9
12/9/2009,19.31
12/10/2009,19.58
12/11/2009,19.72
12/14/2009,19.4
12/15/2009,19.74
12/16/2009,20.24
12/17/2009,19.47
12/18/2009,18.34
12/21/2009,18.36
12/22/2009,17.85
12/23/2009,18.28
12/24/2009,18.76
12/25/2009,18.88
12/28/2009,19.01
12/29/2009,18.95
12/30/2009,18.88
12/31/2009,19.6
1/4/2010,19.41
1/5/2010,19.08
1/6/2010,19.67
1/7/2010,18.63
1/8/2010,18.43
1/11/2010,18.11
1/12/2010,18.85
1/13/2010,18.13
1/14/2010,18.53
1/15/2010,19.32
1/18/2010,20.03
1/19/2010,20.21
1/20/2010,19.86
1/21/2010,19.97
1/22/2010,18.4
1/25/2010,18.04
1/26/2010,17.67
1/27/2010,17.63
1/28/2010,18.04
1/29/2010,18.25
2/1/2010,17.46
2/2/2010,17.15
2/3/2010,18.05
2/4/2010,17.99
2/5/2010,17.48
2/8/2010,17.36
2/9/2010,17.56
